,Title,Date,Year,Month,Day,Day_of_week,Show_name,Season,Episode_name,Show_type
28,It's Always Sunny in Philadelphia: Season 13: The Gang Makes Paddy's Great Again,2021-11-30,2021,November,30,Tuesday,It's Always Sunny in Philadelphia, Season 13, The Gang Makes Paddy's Great Again,TV Show
29,It's Always Sunny in Philadelphia: Season 12: Dennis' Double Life,2021-11-30,2021,November,30,Tuesday,It's Always Sunny in Philadelphia, Season 12, Dennis' Double Life,TV Show
30,It's Always Sunny in Philadelphia: Season 12: Hero or Hate Crime?,2021-11-30,2021,November,30,Tuesday,It's Always Sunny in Philadelphia, Season 12, Hero or Hate Crime?,TV Show
31,It's Always Sunny in Philadelphia: Season 12: A Cricket's Tale,2021-11-30,2021,November,30,Tuesday,It's Always Sunny in Philadelphia, Season 12, A Cricket's Tale,TV Show
32,It's Always Sunny in Philadelphia: Season 12: The Gang Tends Bar,2021-11-29,2021,November,29,Monday,It's Always Sunny in Philadelphia, Season 12, The Gang Tends Bar,TV Show
33,It's Always Sunny in Philadelphia: Season 12: PTSDee,2021-11-29,2021,November,29,Monday,It's Always Sunny in Philadelphia, Season 12, PTSDee,TV Show
34,It's Always Sunny in Philadelphia: Season 12: Making Dennis Reynolds a Murderer,2021-11-29,2021,November,29,Monday,It's Always Sunny in Philadelphia, Season 12, Making Dennis Reynolds a Murderer,TV Show
35,It's Always Sunny in Philadelphia: Season 12: Wolf Cola: A Public Relations Nightmare,2021-11-29,2021,November,29,Monday,It's Always Sunny in Philadelphia, Season 12, Wolf Cola: A Public Relations Nightmare,TV Show
36,It's Always Sunny in Philadelphia: Season 12: Old Lady House: A Situation Comedy,2021-11-29,2021,November,29,Monday,It's Always Sunny in Philadelphia, Season 12, Old Lady House: A Situation Comedy,TV Show
37,It's Always Sunny in Philadelphia: Season 12: The Gang Goes to a Water Park,2021-11-29,2021,November,29,Monday,It's Always Sunny in Philadelphia, Season 12, The Gang Goes to a Water Park,TV Show
38,It's Always Sunny in Philadelphia: Season 12: The Gang Turns Black,2021-11-29,2021,November,29,Monday,It's Always Sunny in Philadelphia, Season 12, The Gang Turns Black,TV Show
39,Selling Sunset: Season 4: One Last Hail Mary,2021-11-29,2021,November,29,Monday,Selling Sunset, Season 4, One Last Hail Mary,TV Show
40,Selling Sunset: Season 4: The Beginning of the End,2021-11-28,2021,November,28,Sunday,Selling Sunset, Season 4, The Beginning of the End,TV Show
41,Selling Sunset: Season 4: The Truth Hurts,2021-11-28,2021,November,28,Sunday,Selling Sunset, Season 4, The Truth Hurts,TV Show
42,Selling Sunset: Season 4: Back on the Market,2021-11-28,2021,November,28,Sunday,Selling Sunset, Season 4, Back on the Market,TV Show
43,Selling Sunset: Season 4: A House for a Hero,2021-11-28,2021,November,28,Sunday,Selling Sunset, Season 4, A House for a Hero,TV Show
44,Selling Sunset: Season 4: Let Sleeping Dogs Lie,2021-11-28,2021,November,28,Sunday,Selling Sunset, Season 4, Let Sleeping Dogs Lie,TV Show
45,Selling Sunset: Season 4: The Emma Dilemma,2021-11-28,2021,November,28,Sunday,Selling Sunset, Season 4, The Emma Dilemma,TV Show
46,Selling Sunset: Season 4: Rival Arrival,2021-11-28,2021,November,28,Sunday,Selling Sunset, Season 4, Rival Arrival,TV Show
47,It's Always Sunny in Philadelphia: Season 11: The Gang Goes to Hell: Part Two,2021-11-28,2021,November,28,Sunday,It's Always Sunny in Philadelphia, Season 11, The Gang Goes to Hell: Part Two,TV Show
48,It's Always Sunny in Philadelphia: Season 11: The Gang Goes to Hell,2021-11-28,2021,November,28,Sunday,It's Always Sunny in Philadelphia, Season 11, The Gang Goes to Hell,TV Show
49,It's Always Sunny in Philadelphia: Season 11: Charlie Catches a Leprechaun,2021-11-28,2021,November,28,Sunday,It's Always Sunny in Philadelphia, Season 11, Charlie Catches a Leprechaun,TV Show
50,It's Always Sunny in Philadelphia: Season 11: McPoyle vs. Ponderosa: The Trial of the Century,2021-11-28,2021,November,28,Sunday,It's Always Sunny in Philadelphia, Season 11, McPoyle vs. Ponderosa: The Trial of the Century,TV Show
51,It's Always Sunny in Philadelphia: Season 11: Being Frank,2021-11-28,2021,November,28,Sunday,It's Always Sunny in Philadelphia, Season 11, Being Frank,TV Show
52,It's Always Sunny in Philadelphia: Season 11: Mac & Dennis Move to the Suburbs,2021-11-28,2021,November,28,Sunday,It's Always Sunny in Philadelphia, Season 11, Mac & Dennis Move to the Suburbs,TV Show
53,It's Always Sunny in Philadelphia: Season 11: Dee Made a Smut Film,2021-11-28,2021,November,28,Sunday,It's Always Sunny in Philadelphia, Season 11, Dee Made a Smut Film,TV Show
54,It's Always Sunny in Philadelphia: Season 11: The Gang Hits the Slopes,2021-11-28,2021,November,28,Sunday,It's Always Sunny in Philadelphia, Season 11, The Gang Hits the Slopes,TV Show
55,It's Always Sunny in Philadelphia: Season 11: Frank Falls Out the Window,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 11, Frank Falls Out the Window,TV Show
56,It's Always Sunny in Philadelphia: Season 11: Chardee MacDennis 2: Electric Boogaloo,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 11, Chardee MacDennis 2: Electric Boogaloo,TV Show
57,It's Always Sunny in Philadelphia: Season 10: Ass Kickers United: Mac and Charlie Join a Cult,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 10, Ass Kickers United: Mac and Charlie Join a Cult,TV Show
58,It's Always Sunny in Philadelphia: Season 10: Frank Retires,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 10, Frank Retires,TV Show
59,It's Always Sunny in Philadelphia: Season 10: The Gang Goes on Family Fight,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 10, The Gang Goes on Family Fight,TV Show
60,It's Always Sunny in Philadelphia: Season 10: Mac Kills His Dad,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 10, Mac Kills His Dad,TV Show
61,It's Always Sunny in Philadelphia: Season 10: The Gang Misses the Boat,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 10, The Gang Misses the Boat,TV Show
62,It's Always Sunny in Philadelphia: Season 10: The Gang Spies Like U.S.,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 10, The Gang Spies Like U.S.,TV Show
63,It's Always Sunny in Philadelphia: Season 10: Charlie Work,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 10, Charlie Work,TV Show
64,It's Always Sunny in Philadelphia: Season 10: Psycho Pete Returns,2021-11-27,2021,November,27,Saturday,It's Always Sunny in Philadelphia, Season 10, Psycho Pete Returns,TV Show
65,It's Always Sunny in Philadelphia: Season 10: The Gang Group Dates,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 10, The Gang Group Dates,TV Show
66,It's Always Sunny in Philadelphia: Season 10: The Gang Beats Boggs,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 10, The Gang Beats Boggs,TV Show
67,It's Always Sunny in Philadelphia: Season 9: The Gang Squashes Their Beefs,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 9, The Gang Squashes Their Beefs,TV Show
68,It's Always Sunny in Philadelphia: Season 9: Flowers for Charlie,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 9, Flowers for Charlie,TV Show
69,It's Always Sunny in Philadelphia: Season 9: The Gang Gets Quarantined,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 9, The Gang Gets Quarantined,TV Show
70,It's Always Sunny in Philadelphia: Season 9: The Gang Saves the Day,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 9, The Gang Saves the Day,TV Show
71,It's Always Sunny in Philadelphia: Season 9: Mac Day,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 9, Mac Day,TV Show
72,It's Always Sunny in Philadelphia: Season 9: Mac and Dennis Buy a Timeshare,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 9, Mac and Dennis Buy a Timeshare,TV Show
73,It's Always Sunny in Philadelphia: Season 9: The Gang Tries Desperately to Win an Award,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 9, The Gang Tries Desperately to Win an Award,TV Show
74,It's Always Sunny in Philadelphia: Season 9: Gun Fever Too: Still Hot,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 9, Gun Fever Too: Still Hot,TV Show
75,It's Always Sunny in Philadelphia: Season 9: The Gang Broke Dee,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 9, The Gang Broke Dee,TV Show
76,It's Always Sunny in Philadelphia: Season 8: Reynolds vs. Reynolds: The Cereal Defense,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 8, Reynolds vs. Reynolds: The Cereal Defense,TV Show
77,It's Always Sunny in Philadelphia: Season 8: The Gang Dines Out,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 8, The Gang Dines Out,TV Show
78,It's Always Sunny in Philadelphia: Season 8: Charlie's Mom Has Cancer,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 8, Charlie's Mom Has Cancer,TV Show
79,It's Always Sunny in Philadelphia: Season 8: Charlie Rules the World,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 8, Charlie Rules the World,TV Show
80,It's Always Sunny in Philadelphia: Season 8: Frank's Back in Business,2021-11-26,2021,November,26,Friday,It's Always Sunny in Philadelphia, Season 8, Frank's Back in Business,TV Show
81,It's Always Sunny in Philadelphia: Season 8: The Gang Gets Analyzed,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 8, The Gang Gets Analyzed,TV Show
82,It's Always Sunny in Philadelphia: Season 8: Charlie and Dee Find Love,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 8, Charlie and Dee Find Love,TV Show
83,It's Always Sunny in Philadelphia: Season 8: The Maureen Ponderosa Wedding Massacre,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 8, The Maureen Ponderosa Wedding Massacre,TV Show
84,It's Always Sunny in Philadelphia: Season 8: Pop-Pop: The Final Solution,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 8, Pop-Pop: The Final Solution,TV Show
85,It's Always Sunny in Philadelphia: Season 7: The High School Reunion: Part 2: The Gang's Revenge,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, The High School Reunion: Part 2: The Gang's Revenge,TV Show
86,It's Always Sunny in Philadelphia: Season 7: The High School Reunion,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, The High School Reunion,TV Show
87,It's Always Sunny in Philadelphia: Season 7: Thunder Gun Express,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, Thunder Gun Express,TV Show
88,It's Always Sunny in Philadelphia: Season 7: How Mac Got Fat,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, How Mac Got Fat,TV Show
89,It's Always Sunny in Philadelphia: Season 7: The Gang Gets Trapped,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, The Gang Gets Trapped,TV Show
90,It's Always Sunny in Philadelphia: Season 7: The ANTI-Social Network,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, The ANTI-Social Network,TV Show
91,It's Always Sunny in Philadelphia: Season 7: Chardee MacDennis: The Game of Games,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, Chardee MacDennis: The Game of Games,TV Show
92,It's Always Sunny in Philadelphia: Season 7: The Storm of the Century,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, The Storm of the Century,TV Show
93,It's Always Sunny in Philadelphia: Season 7: Frank's Brother,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, Frank's Brother,TV Show
94,It's Always Sunny in Philadelphia: Season 7: Sweet Dee Gets Audited,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, Sweet Dee Gets Audited,TV Show
95,It's Always Sunny in Philadelphia: Season 7: Frank Reynolds' Little Beauties,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, Frank Reynolds' Little Beauties,TV Show
96,"Selling Sunset: Season 4: New Friends, Old Enemies",2021-11-25,2021,November,25,Thursday,Selling Sunset, Season 4," New Friends, Old Enemies",TV Show
97,It's Always Sunny in Philadelphia: Season 7: The Gang Goes to the Jersey Shore,2021-11-25,2021,November,25,Thursday,It's Always Sunny in Philadelphia, Season 7, The Gang Goes to the Jersey Shore,TV Show
98,Selling Sunset: Season 4: Very High Heels to Fill,2021-11-24,2021,November,24,Wednesday,Selling Sunset, Season 4, Very High Heels to Fill,TV Show
99,It's Always Sunny in Philadelphia: Season 7: Frank's Pretty Woman,2021-11-24,2021,November,24,Wednesday,It's Always Sunny in Philadelphia, Season 7, Frank's Pretty Woman,TV Show
100,It's Always Sunny in Philadelphia: Season 6: A Very Sunny Christmas,2021-11-24,2021,November,24,Wednesday,It's Always Sunny in Philadelphia, Season 6, A Very Sunny Christmas,TV Show
101,It's Always Sunny in Philadelphia: Season 6: Dee Gives Birth,2021-11-24,2021,November,24,Wednesday,It's Always Sunny in Philadelphia, Season 6, Dee Gives Birth,TV Show
102,It's Always Sunny in Philadelphia: Season 6: The Gang Gets Stranded in the Woods,2021-11-24,2021,November,24,Wednesday,It's Always Sunny in Philadelphia, Season 6, The Gang Gets Stranded in the Woods,TV Show
103,It's Always Sunny in Philadelphia: Season 6: Charlie Kelly: King of the Rats,2021-11-23,2021,November,23,Tuesday,It's Always Sunny in Philadelphia, Season 6, Charlie Kelly: King of the Rats,TV Show
104,It's Always Sunny in Philadelphia: Season 6: The Gang Gets a New Member,2021-11-23,2021,November,23,Tuesday,It's Always Sunny in Philadelphia, Season 6, The Gang Gets a New Member,TV Show
105,It's Always Sunny in Philadelphia: Season 6: Who Got Dee Pregnant?,2021-11-23,2021,November,23,Tuesday,It's Always Sunny in Philadelphia, Season 6, Who Got Dee Pregnant?,TV Show
106,It's Always Sunny in Philadelphia: Season 6: Mac's Mom Burns Her House Down,2021-11-23,2021,November,23,Tuesday,It's Always Sunny in Philadelphia, Season 6, Mac's Mom Burns Her House Down,TV Show
107,It's Always Sunny in Philadelphia: Season 6: Mac and Charlie: White Trash,2021-11-23,2021,November,23,Tuesday,It's Always Sunny in Philadelphia, Season 6, Mac and Charlie: White Trash,TV Show
108,It's Always Sunny in Philadelphia: Season 6: Mac's Big Break,2021-11-23,2021,November,23,Tuesday,It's Always Sunny in Philadelphia, Season 6, Mac's Big Break,TV Show
109,Black Mirror: Season 2: White Christmas,2021-11-23,2021,November,23,Tuesday,Black Mirror, Season 2, White Christmas,TV Show
110,It's Always Sunny in Philadelphia: Season 6: The Gang Buys a Boat,2021-11-22,2021,November,22,Monday,It's Always Sunny in Philadelphia, Season 6, The Gang Buys a Boat,TV Show
111,It's Always Sunny in Philadelphia: Season 6: Dennis Gets Divorced,2021-11-22,2021,November,22,Monday,It's Always Sunny in Philadelphia, Season 6, Dennis Gets Divorced,TV Show
112,It's Always Sunny in Philadelphia: Season 6: Mac Fights Gay Marriage,2021-11-22,2021,November,22,Monday,It's Always Sunny in Philadelphia, Season 6, Mac Fights Gay Marriage,TV Show
113,It's Always Sunny in Philadelphia: Season 5: The Gang Reignites the Rivalry,2021-11-22,2021,November,22,Monday,It's Always Sunny in Philadelphia, Season 5, The Gang Reignites the Rivalry,TV Show
114,It's Always Sunny in Philadelphia: Season 5: Mac and Charlie Write a Movie,2021-11-22,2021,November,22,Monday,It's Always Sunny in Philadelphia, Season 5, Mac and Charlie Write a Movie,TV Show
115,It's Always Sunny in Philadelphia: Season 5: The D.E.N.N.I.S. System,2021-11-22,2021,November,22,Monday,It's Always Sunny in Philadelphia, Season 5, The D.E.N.N.I.S. System,TV Show
116,It's Always Sunny in Philadelphia: Season 5: Mac and Dennis Break Up,2021-11-21,2021,November,21,Sunday,It's Always Sunny in Philadelphia, Season 5, Mac and Dennis Break Up,TV Show
117,It's Always Sunny in Philadelphia: Season 5: Paddy's Pub: Home of the Original Kitten Mittens,2021-11-21,2021,November,21,Sunday,It's Always Sunny in Philadelphia, Season 5, Paddy's Pub: Home of the Original Kitten Mittens,TV Show
118,It's Always Sunny in Philadelphia: Season 5: The Gang Wrestles for the Troops,2021-11-21,2021,November,21,Sunday,It's Always Sunny in Philadelphia, Season 5, The Gang Wrestles for the Troops,TV Show
119,It's Always Sunny in Philadelphia: Season 5: The World Series Defense,2021-11-21,2021,November,21,Sunday,It's Always Sunny in Philadelphia, Season 5, The World Series Defense,TV Show
120,It's Always Sunny in Philadelphia: Season 5: The Waitress Is Getting Married,2021-11-21,2021,November,21,Sunday,It's Always Sunny in Philadelphia, Season 5, The Waitress Is Getting Married,TV Show
121,It's Always Sunny in Philadelphia: Season 5: The Gang Gives Frank an Intervention,2021-11-20,2021,November,20,Saturday,It's Always Sunny in Philadelphia, Season 5, The Gang Gives Frank an Intervention,TV Show
122,It's Always Sunny in Philadelphia: Season 5: The Great Recession,2021-11-18,2021,November,18,Thursday,It's Always Sunny in Philadelphia, Season 5, The Great Recession,TV Show
123,It's Always Sunny in Philadelphia: Season 5: The Gang Hits the Road,2021-11-18,2021,November,18,Thursday,It's Always Sunny in Philadelphia, Season 5, The Gang Hits the Road,TV Show
124,It's Always Sunny in Philadelphia: Season 5: The Gang Exploits the Mortgage Crisis,2021-11-18,2021,November,18,Thursday,It's Always Sunny in Philadelphia, Season 5, The Gang Exploits the Mortgage Crisis,TV Show
125,It's Always Sunny in Philadelphia: Season 4: The Nightman Cometh,2021-11-18,2021,November,18,Thursday,It's Always Sunny in Philadelphia, Season 4, The Nightman Cometh,TV Show
126,Another Life: Season 2: Live to Fight Another Day,2021-11-17,2021,November,17,Wednesday,Another Life, Season 2, Live to Fight Another Day,TV Show
127,Lost in Space: Season 1: Impact,2021-11-17,2021,November,17,Wednesday,Lost in Space, Season 1, Impact,TV Show
128,It's Always Sunny in Philadelphia: Season 4: The Gang Gets Extreme: Home Makeover Edition,2021-11-16,2021,November,16,Tuesday,It's Always Sunny in Philadelphia, Season 4, The Gang Gets Extreme: Home Makeover Edition,TV Show
129,The Great Gatsby,2021-11-15,2021,November,15,Monday,The Great Gatsby,,,Movie
130,Red Notice,2021-11-15,2021,November,15,Monday,Red Notice,,,Movie
131,Inside Job: Part 1: Unpresidented,2021-11-15,2021,November,15,Monday,Inside Job, Part 1, Unpresidented,TV Show
132,It's Always Sunny in Philadelphia: Season 4: The Gang Cracks the Liberty Bell,2021-11-15,2021,November,15,Monday,It's Always Sunny in Philadelphia, Season 4, The Gang Cracks the Liberty Bell,TV Show
133,It's Always Sunny in Philadelphia: Season 4: Sweet Dee Has a Heart Attack,2021-11-15,2021,November,15,Monday,It's Always Sunny in Philadelphia, Season 4, Sweet Dee Has a Heart Attack,TV Show
134,It's Always Sunny in Philadelphia: Season 4: Dennis Reynolds: An Erotic Life,2021-11-13,2021,November,13,Saturday,It's Always Sunny in Philadelphia, Season 4, Dennis Reynolds: An Erotic Life,TV Show
135,It's Always Sunny in Philadelphia: Season 4: Paddy's Pub: The Worst Bar in Philadelphia,2021-11-13,2021,November,13,Saturday,It's Always Sunny in Philadelphia, Season 4, Paddy's Pub: The Worst Bar in Philadelphia,TV Show
136,It's Always Sunny in Philadelphia: Season 4: Who Pooped the Bed?,2021-11-13,2021,November,13,Saturday,It's Always Sunny in Philadelphia, Season 4, Who Pooped the Bed?,TV Show
137,It's Always Sunny in Philadelphia: Season 4: Mac and Charlie Die: Part 2,2021-11-13,2021,November,13,Saturday,It's Always Sunny in Philadelphia, Season 4, Mac and Charlie Die: Part 2,TV Show
138,It's Always Sunny in Philadelphia: Season 4: Mac and Charlie Die: Part 1,2021-11-13,2021,November,13,Saturday,It's Always Sunny in Philadelphia, Season 4, Mac and Charlie Die: Part 1,TV Show
139,It's Always Sunny in Philadelphia: Season 4: Mac's Banging the Waitress,2021-12-11,2021,December,11,Saturday,It's Always Sunny in Philadelphia, Season 4, Mac's Banging the Waitress,TV Show
140,You: Season 3: What Is Love?,2021-10-11,2021,October,11,Monday,You, Season 3, What Is Love?,TV Show
141,You: Season 3: Red Flag,2021-10-11,2021,October,11,Monday,You, Season 3, Red Flag,TV Show
142,The Billion Dollar Code: Limited Series: Episode 1,2021-10-11,2021,October,11,Monday,The Billion Dollar Code, Limited Series, Episode 1,TV Show
143,Shutter Island,2021-09-11,2021,September,11,Saturday,Shutter Island,,,Movie
144,Despicable Me,2021-10-29,2021,October,29,Friday,Despicable Me,,,Movie
145,Megamind,2021-10-29,2021,October,29,Friday,Megamind,,,Movie
146,It's Always Sunny in Philadelphia: Season 4: The Gang Solves the Gas Crisis,2021-10-24,2021,October,24,Sunday,It's Always Sunny in Philadelphia, Season 4, The Gang Solves the Gas Crisis,TV Show
147,It's Always Sunny in Philadelphia: Season 4: Mac and Dennis: Manhunters,2021-10-24,2021,October,24,Sunday,It's Always Sunny in Philadelphia, Season 4, Mac and Dennis: Manhunters,TV Show
148,It's Always Sunny in Philadelphia: Season 3: The Gang Dances Their Asses Off,2021-10-23,2021,October,23,Saturday,It's Always Sunny in Philadelphia, Season 3, The Gang Dances Their Asses Off,TV Show
149,It's Always Sunny in Philadelphia: Season 3: Bums: Making a Mess All Over the City,2021-10-23,2021,October,23,Saturday,It's Always Sunny in Philadelphia, Season 3, Bums: Making a Mess All Over the City,TV Show
150,It's Always Sunny in Philadelphia: Season 3: The Gang Gets Whacked: Part 2,2021-10-18,2021,October,18,Monday,It's Always Sunny in Philadelphia, Season 3, The Gang Gets Whacked: Part 2,TV Show
151,It's Always Sunny in Philadelphia: Season 3: The Gang Gets Whacked: Part 1,2021-10-18,2021,October,18,Monday,It's Always Sunny in Philadelphia, Season 3, The Gang Gets Whacked: Part 1,TV Show
152,It's Always Sunny in Philadelphia: Season 3: Dennis Looks Like a Registered Sex Offender,2021-10-18,2021,October,18,Monday,It's Always Sunny in Philadelphia, Season 3, Dennis Looks Like a Registered Sex Offender,TV Show
153,It's Always Sunny in Philadelphia: Season 3: Mac Is a Serial Killer,2021-10-18,2021,October,18,Monday,It's Always Sunny in Philadelphia, Season 3, Mac Is a Serial Killer,TV Show
154,It's Always Sunny in Philadelphia: Season 3: Sweet Dee's Dating a Retarded Person,2021-10-17,2021,October,17,Sunday,It's Always Sunny in Philadelphia, Season 3, Sweet Dee's Dating a Retarded Person,TV Show
